"","SRR14864859","SRR14864860","SRR14864861","SRR14864862","SRR14864863","SRR14864864","SRR14864865","SRR14864866","SRR14864867","SRR14864868","SRR14864869","SRR14864870"
"ENSG00000011143",48,98,12,30,26,55,46,90,35,34,25,45
"ENSG00000011198",355,327,374,364,127,204,147,295,367,160,203,150
"ENSG00000011201",990,503,295,620,202,447,351,236,370,228,694,620
"ENSG00000011243",376,282,133,146,19,248,244,372,273,214,101,107
"ENSG00000011258",276,308,305,313,120,230,277,291,139,176,217,150
"ENSG00000011260",196,94,93,135,3,94,58,97,52,95,143,14
"ENSG00000011275",633,636,515,499,152,483,522,825,530,318,478,331
"ENSG00000011295",485,569,227,293,128,467,345,435,550,297,375,390
"ENSG00000011304",236,333,212,255,138,232,239,348,394,202,150,124
"ENSG00000011332",80,138,73,103,7,126,67,146,107,68,130,45
"ENSG00000011347",618,869,174,334,30,435,183,1304,294,305,544,154
"ENSG00000011376",79,59,32,65,31,76,80,123,62,43,94,62
"ENSG00000011405",1844,1795,1038,1894,563,1174,947,1825,836,925,1198,1139
"ENSG00000011422",38,22,36,29,21,26,32,59,33,23,18,12
"ENSG00000011426",4126,4625,11989,8815,3434,4119,3540,4444,6983,4353,1499,912
"ENSG00000011451",317,252,138,284,19,310,191,197,206,165,208,130
"ENSG00000011454",175,1164,1648,799,46,483,670,267,177,1376,1648,86
"ENSG00000011465",59,66,56,196,40,53,98,141,100,419,101,59
"ENSG00000011478",1,40,10,14,6,22,16,42,6,3,17,13
"ENSG00000011485",363,151,63,304,79,220,143,463,223,98,289,120
"ENSG00000011523",749,576,591,630,235,574,562,848,495,305,788,514
"ENSG00000011566",891,660,557,580,316,604,486,604,337,428,782,511
"ENSG00000011590",1,0,0,0,3,0,3,2,2,1,3,3
"ENSG00000011600",215,123,274,300,61,106,76,84,94,141,89,37
"ENSG00000011638",0,36,0,19,0,0,0,0,7,11,0,0
"ENSG00000011677",325,138,71,208,6,134,79,159,89,91,253,308
"ENSG00000012048",207,218,223,229,69,148,280,218,198,79,98,118
"ENSG00000012061",238,266,160,194,38,194,156,287,128,66,222,71
"ENSG00000012124",119,327,115,206,47,245,442,771,430,111,107,49
"ENSG00000012171",176,217,221,69,46,193,324,405,127,42,87,63
"ENSG00000012174",224,71,190,229,52,182,71,236,90,107,306,176
"ENSG00000012211",0,2,0,2,0,0,3,1,4,0,2,1
"ENSG00000012223",11,0,36,44,5,242,0,0,174,0,0,93
"ENSG00000012232",273,483,319,322,95,544,363,373,505,237,560,276
"ENSG00000012504",0,0,0,0,0,0,5,0,0,0,1,0
"ENSG00000012660",713,259,229,132,481,130,234,526,500,116,327,459
"ENSG00000012779",0,41,0,76,0,5,0,9,35,20,2,1
"ENSG00000012817",106,359,1,0,126,1,277,1,2,0,3,522
"ENSG00000012822",212,423,271,236,169,445,482,874,664,154,210,410
"ENSG00000012963",387,269,230,194,72,219,207,420,227,218,343,204
"ENSG00000012983",1103,1464,2076,1422,948,1306,1913,1860,1905,1059,862,884
"ENSG00000013016",350,368,128,417,46,273,223,379,209,185,265,269
"ENSG00000013275",203,171,111,218,106,255,187,262,133,115,324,154
"ENSG00000013288",27,154,49,63,28,144,122,202,112,65,69,46
"ENSG00000013293",1524,725,537,788,181,957,660,1687,357,253,1774,1033
"ENSG00000013297",683,1177,1790,1133,682,1539,1158,2562,1147,428,324,607
"ENSG00000013306",105,18,58,32,2,78,23,185,15,23,87,1
"ENSG00000013364",97,101,42,65,4,110,127,230,16,31,51,32
"ENSG00000013374",455,524,502,578,159,135,202,506,405,281,455,149
"ENSG00000013375",828,504,547,710,262,461,445,567,585,484,542,522
"ENSG00000013392",170,87,74,112,21,112,78,141,107,87,168,108
"ENSG00000013441",2338,1795,2289,1896,623,1220,1535,1690,2443,1358,1074,859
"ENSG00000013503",225,211,133,206,31,54,104,213,46,81,213,182
"ENSG00000013523",166,213,56,180,62,70,135,367,99,110,80,126
"ENSG00000013561",102,121,146,135,0,56,36,74,95,47,90,71
"ENSG00000013563",0,0,5,24,9,0,20,8,34,0,53,0
"ENSG00000013573",6,26,4,6,1,10,3,32,24,9,22,0
"ENSG00000013583",187,116,264,232,46,131,90,137,126,106,122,80
"ENSG00000013588",9,1,0,8,9,5,2,19,47,2,0,29
"ENSG00000013619",192,267,0,181,19,231,139,282,52,12,232,44
"ENSG00000013725",0,1,1,0,0,3,1,10,8,1,3,1
"ENSG00000013810",25,73,26,22,25,43,94,105,88,35,17,11
"ENSG00000014123",789,440,643,649,242,423,402,542,422,338,547,415
"ENSG00000014138",91,178,95,116,49,128,141,225,107,78,95,68
"ENSG00000014164",30,39,0,20,0,0,1,29,19,0,1,1
"ENSG00000014216",165,147,55,136,33,130,102,180,97,82,112,60
"ENSG00000014257",8,10,8,49,23,9,12,22,11,12,17,35
"ENSG00000014641",1566,803,723,1179,365,1068,532,1266,609,332,2432,985
"ENSG00000014824",491,414,526,471,62,308,270,397,333,208,602,153
"ENSG00000014914",30,94,16,47,39,7,73,89,54,35,42,78
"ENSG00000014919",280,340,225,407,122,365,393,487,359,135,391,305
"ENSG00000015133",58,106,70,65,19,38,35,70,46,57,48,208
"ENSG00000015153",391,195,222,288,93,202,180,309,204,210,360,157
"ENSG00000015171",860,804,1226,850,216,720,792,630,839,442,731,357
"ENSG00000015285",23,33,30,15,5,24,19,51,11,8,17,11
"ENSG00000015413",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000015475",402,296,262,382,137,321,231,176,279,247,272,186
"ENSG00000015479",3978,1709,1529,3544,581,1910,2198,1834,2032,1541,2565,2067
"ENSG00000015520",0,0,0,0,1,0,0,0,0,3,0,0
"ENSG00000015532",104,76,38,58,10,111,68,111,47,7,69,39
"ENSG00000015568",2400,847,281,576,275,536,417,1071,463,276,942,862
"ENSG00000015592",1297,1244,1589,987,180,1459,494,923,717,456,1344,208
"ENSG00000015676",536,588,399,387,71,759,530,624,334,224,412,298
"ENSG00000016082",0,0,0,0,0,0,0,0,0,0,0,11
"ENSG00000016391",317,528,320,376,131,204,228,361,269,153,240,137
"ENSG00000016402",7,0,37,47,20,16,0,0,0,11,1,9
"ENSG00000016490",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000016602",0,9,2,7,1,2,0,238,0,2,0,0
"ENSG00000016864",311,220,278,283,78,161,165,283,200,177,248,130
"ENSG00000017260",1606,935,1106,1081,272,973,797,1245,840,706,1255,728
"ENSG00000017427",70,42,47,117,31,71,60,30,25,7,150,77
"ENSG00000017483",3,31,0,5,13,38,5,63,11,0,7,5
"ENSG00000017797",629,606,826,781,226,388,372,458,495,433,554,332
"ENSG00000018189",3897,2597,2857,3319,925,2312,2192,3304,1790,1417,3892,2265
"ENSG00000018236",6164,2072,2447,3166,827,2821,1655,2610,1375,1161,4485,1574
"ENSG00000018280",139,143,83,25,60,66,107,346,42,4,30,150
"ENSG00000018408",694,791,952,1313,672,876,428,405,1033,628,387,781
"ENSG00000018510",459,315,394,399,129,331,299,404,412,199,373,277
"ENSG00000018607",3,6,0,1,1,4,1,3,0,0,2,1
"ENSG00000018610",87,108,68,82,25,83,62,151,63,42,75,42
"ENSG00000018625",6977,4992,3426,4384,1093,3817,3690,4177,2741,3831,5211,1392
"ENSG00000018699",14,111,22,25,8,22,241,46,22,20,28,28
"ENSG00000018869",102,62,46,81,28,60,67,86,55,49,53,49
"ENSG00000019102",0,0,1,2,0,0,2,5,3,3,3,1
"ENSG00000019144",315,1183,793,484,283,1287,2034,3152,622,187,519,353
"ENSG00000019169",0,1,0,0,1,3,0,0,0,0,0,0
"ENSG00000019186",5,9,0,0,0,0,0,1,0,0,2,1
